Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_amazon_validate_search_item-001,Chrome 121.0.0.0,,,03-02-2024 20:14:36,03-02-2024 20:16:17,1m - 40.814s,PASSED
,,,,,,,
Test Cases/Data_driven_testing/TC_amazon_validate_search_item-001,Chrome 121.0.0.0,,,03-02-2024 20:14:36,03-02-2024 20:15:07,30.881s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,03-02-2024 20:14:37,03-02-2024 20:14:38,1.593s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,03-02-2024 20:14:38,03-02-2024 20:14:40,1.756s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, false)",Chrome 121.0.0.0,,,03-02-2024 20:14:40,03-02-2024 20:14:59,18.479s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), Item)",Chrome 121.0.0.0,,,03-02-2024 20:14:59,03-02-2024 20:15:00,1.752s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,03-02-2024 20:15:00,03-02-2024 20:15:07,6.786s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,03-02-2024 20:15:07,03-02-2024 20:15:07,0.166s,PASSED
,,,,,,,
Test Cases/Data_driven_testing/TC_amazon_validate_search_item-001,Chrome 121.0.0.0,,,03-02-2024 20:15:07,03-02-2024 20:15:57,50.108s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,03-02-2024 20:15:07,03-02-2024 20:15:08,0.760s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,03-02-2024 20:15:08,03-02-2024 20:15:10,1.735s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, false)",Chrome 121.0.0.0,,,03-02-2024 20:15:10,03-02-2024 20:15:40,30.167s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), Item)",Chrome 121.0.0.0,,,03-02-2024 20:15:40,03-02-2024 20:15:42,2.062s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,03-02-2024 20:15:42,03-02-2024 20:15:57,15.144s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,03-02-2024 20:15:57,03-02-2024 20:15:57,0.220s,PASSED
,,,,,,,
Test Cases/Data_driven_testing/TC_amazon_validate_search_item-001,Chrome 121.0.0.0,,,03-02-2024 20:15:58,03-02-2024 20:16:06,8.121s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,03-02-2024 20:15:58,03-02-2024 20:15:58,0.735s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,03-02-2024 20:15:58,03-02-2024 20:16:00,1.646s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, false)",Chrome 121.0.0.0,,,03-02-2024 20:16:00,03-02-2024 20:16:01,1.058s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), Item)",Chrome 121.0.0.0,,,03-02-2024 20:16:01,03-02-2024 20:16:02,1.199s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,03-02-2024 20:16:02,03-02-2024 20:16:05,3.310s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,03-02-2024 20:16:05,03-02-2024 20:16:06,0.152s,PASSED
,,,,,,,
Test Cases/Data_driven_testing/TC_amazon_validate_search_item-001,Chrome 121.0.0.0,,,03-02-2024 20:16:06,03-02-2024 20:16:17,11.350s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,03-02-2024 20:16:06,03-02-2024 20:16:06,0.643s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,03-02-2024 20:16:06,03-02-2024 20:16:08,1.570s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, false)",Chrome 121.0.0.0,,,03-02-2024 20:16:08,03-02-2024 20:16:10,2.088s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), Item)",Chrome 121.0.0.0,,,03-02-2024 20:16:10,03-02-2024 20:16:11,1.257s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,03-02-2024 20:16:11,03-02-2024 20:16:17,5.603s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,03-02-2024 20:16:17,03-02-2024 20:16:17,0.172s,PASSED
