Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_amazon_validate_search_item_With_ExcelSheet_001,Chrome 121.0.0.0,,,05-02-2024 23:43:22,05-02-2024 23:46:27,3m - 4.629s,PASSED
,,,,,,,
Test Cases/Data_driven_testing/TC_amazon_validate_search_item_With_ExcelSheet_001,Chrome 121.0.0.0,,,05-02-2024 23:43:22,05-02-2024 23:43:56,34.097s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,05-02-2024 23:43:22,05-02-2024 23:43:23,0.350s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,05-02-2024 23:43:23,05-02-2024 23:43:24,1.665s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,05-02-2024 23:43:24,05-02-2024 23:43:28,3.453s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, false)",Chrome 121.0.0.0,,,05-02-2024 23:43:28,05-02-2024 23:43:44,16.213s,PASSED
"setText(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/input_field-keywords""), Item)",Chrome 121.0.0.0,,,05-02-2024 23:43:44,05-02-2024 23:43:47,2.636s,PASSED
"click(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/inputnav-search-submit-button""))",Chrome 121.0.0.0,,,05-02-2024 23:43:47,05-02-2024 23:43:56,9.430s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,05-02-2024 23:43:56,05-02-2024 23:43:56,0.198s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,05-02-2024 23:43:56,05-02-2024 23:43:56,0.033s,ERROR
,,,,,,,
Test Cases/Data_driven_testing/TC_amazon_validate_search_item_With_ExcelSheet_001,Chrome 121.0.0.0,,,05-02-2024 23:43:56,05-02-2024 23:44:58,1m - 1.105s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,05-02-2024 23:43:56,05-02-2024 23:43:57,0.062s,ERROR
"openBrowser("""")",Chrome 121.0.0.0,,,05-02-2024 23:43:57,05-02-2024 23:43:57,0.745s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 121.0.0.0,,,05-02-2024 23:43:57,05-02-2024 23:44:00,2.849s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/AmazonPages_searchOR/Page_Amazon.com. Spend less. Smile more/select_All Departments        Arts  Crafts _135c92""), category, false)",Chrome 121.0.0.0,,,05-02-2024 23:44:00,05-02-2024 23:44:43,43.162s,PASSED
